FIXNUMBER,OTTERNO,OTTERNAME,Date,SEX,AGE_CLASS,STATUS,ACTIV,BEHAV,TealeX,TealeY,NEAR_DIST,ATOS,REPRO_STATE,REPRO_SUCCESS,UP_INDEX,DEPTH
N-1346-08-S_-3124898496_39962,N-1346-08-S,4.994,2/10/09,1,4,f,i,r,-134483.3323,-225584.1757,353.423539,618.0829555,1,1,48,-10.342
N-1346-08-S_-3124812096_58385,N-1346-08-S,4.994,2/11/09,1,4,f,a,f,-134518.5488,-225217.9321,247.510851,617.3597235,1,1,46,-6.8254
N-1346-08-S_-3124380096_58806,N-1346-08-S,4.994,2/16/09,1,4,f,i,r,-134554.1264,-225172.0353,271.053641,617.2416261,1,1,-95,-7.3441
N-1346-08-S_-3124207296_50138,N-1346-08-S,4.994,2/18/09,1,4,f,i,r,-134267.583,-226374.394,329.224564,620.2606708,1,1,-32,-11.815
N-1346-08-S_-3124120896_50894,N-1346-08-S,4.994,2/19/09,1,4,f,i,r,-134227.3642,-226343.2468,279.147286,620.2913791,1,1,-40,-10.292
N-1346-08-S_-3124034496_46902,N-1346-08-S,4.994,2/20/09,1,4,f,i,r,-134144.7221,-226249.5402,169.755208,620.4058177,1,1,1,-6.4238
N-1346-08-S_-3123948096_42295,N-1346-08-S,4.994,2/21/09,1,4,f,i,r,-134379.0372,-226300.859,409.83054,620.4518385,1,1,-32,-14.823
N-1346-08-S_-3123688896_53072,N-1346-08-S,4.994,2/24/09,1,4,f,i,r,-134271.7019,-226361.3285,326.940097,620.2856198,1,1,35,-11.834
N-1346-08-S_-3123602496_52966,N-1346-08-S,4.994,2/25/09,1,4,f,i,r,-134382.8225,-226306.6886,414.747234,620.4439396,1,1,26,-14.978
N-1346-08-S_-3123516096_52501,N-1346-08-S,4.994,2/26/09,1,4,f,i,r,-134349.2186,-225293.2693,155.985387,618.3549674,1,1,74,-3.4005
N-1346-08-S_-3123343296_50516,N-1346-08-S,4.994,2/28/09,1,4,f,i,r,-134467.6321,-225656.8717,362.061192,618.2277401,1,1,-61,-10.598
N-1346-08-S_-3122997696_47684,N-1346-08-S,4.994,3/4/09,1,4,f,i,r,-134207.8174,-226228.7698,230.217146,620.4779902,1,1,6,-8.5557
N-1346-08-S_-3122565696_34736,N-1346-08-S,4.994,3/9/09,1,4,f,a,g,-134317.4682,-225989.1433,335.533088,619.0636479,1,1,147,-9.5135
N-1346-08-S_-3121788096_45320,N-1346-08-S,4.994,3/18/09,1,4,x,i,r,-134321.8723,-226011.4087,342.171758,619.0807741,1,1,115,-10.011
N-1346-08-S_-3121701696_49938,N-1346-08-S,4.994,3/19/09,1,4,f,i,r,-134288.6668,-226357.3949,340.665299,620.3021718,1,1,115,-12.328
N-1346-08-S_-3121615296_46868,N-1346-08-S,4.994,3/20/09,1,4,f,i,r,-134246.557,-226263.2739,272.533832,620.4406297,1,1,87,-10.189
N-1346-08-S_-3121269696_51801,N-1346-08-S,4.994,3/24/09,1,4,x,i,r,-134280.205,-226403.6416,354.753122,620.2173793,1,1,154,-12.424
N-1346-08-S_-3121183296_48256,N-1346-08-S,4.994,3/25/09,1,4,f,i,g,-134339.695,-226027.6848,361.868626,619.098657,1,1,197,-10.906
N-1346-08-S_-3121096896_57922,N-1346-08-S,4.994,3/26/09,1,4,f,i,r,-134786.8373,-225163.3644,481.426582,617.0994342,1,1,173,-14.239
N-1346-08-S_-3120837696_45162,N-1346-08-S,4.994,3/29/09,1,4,f,i,r,-134318.3659,-226092.024,347.251894,619.2221163,1,1,307,-10.843
N-1346-08-S_-3120751296_36992,N-1346-08-S,4.994,3/30/09,1,4,f,i,r,-134436.1508,-225699.9255,354.165643,618.3267421,1,1,96,-10.084
N-1346-08-S_-3120664896_49650,N-1346-08-S,4.994,3/31/09,1,4,f,i,r,-134266.392,-226287.1857,296.773159,620.410707,1,1,132,-11.051
