Depth,Distance,TealeX,TealeY,ATOScal
-27,813.856948,-127050,-241811.5809,657.8232461
-27,745.20358,-126950,-241811.5809,657.9399234
-25,684.152682,-126850,-241811.5809,658.1719717
-25,603.995452,-126750,-241811.5809,658.30092
-19,527.157006,-126650,-241811.5809,658.4298684
-19,458.384894,-126550,-241811.5809,658.5588167
-14,383.805896,-126450,-241811.5809,658.6877651
-14,303.97257,-126350,-241811.5809,658.8167135
-7,231.817988,-126250,-241811.5809,659.145222
-7,149.294652,-126150,-241811.5809,659.2286762
-1,84.996241,-126050,-241811.5809,659.3121304
-1,6.358419,-125950,-241811.5809,659.3955847
-52,1933.808031,-128450,-241711.5809,656.2261574
-52,1852.526436,-128350,-241711.5809,656.336643
-46,1773.159578,-128250,-241711.5809,656.4471286
-46,1695.976293,-128150,-241711.5809,656.5576141
-41,1621.09376,-128050,-241711.5809,656.6680997
-41,1547.261198,-127950,-241711.5809,656.7785852
-38,1460.038367,-127850,-241711.5809,656.8890708
-38,1365.867178,-127750,-241711.5809,656.9995564
-34,1272.58566,-127650,-241711.5809,656.9863354
-34,1180.404752,-127550,-241711.5809,657.1030128
-31,1089.603824,-127450,-241711.5809,657.2196901
-31,1000.170909,-127350,-241711.5809,657.3363674
-29,912.856555,-127250,-241711.5809,657.4530447
-29,828.415556,-127150,-241711.5809,657.569722
-27,747.821889,-127050,-241711.5809,657.6863994
-27,672.460275,-126950,-241711.5809,657.8030767
-25,604.291374,-126850,-241711.5809,657.919754
-25,545.577454,-126750,-241711.5809,658.1550809
-19,463.717644,-126650,-241711.5809,658.2840292
-19,385.924994,-126550,-241711.5809,658.4129776
-14,318.057076,-126450,-241711.5809,658.5419259
-14,247.410422,-126350,-241711.5809,658.6708743
-7,162.82722,-126250,-241711.5809,658.7998227
-7,96.227826,-126150,-241711.5809,659.0789335
-1,9.76727,-126050,-241711.5809,659.1623877
-48,1878.597525,-128450,-241611.5809,656.0624416
-48,1794.81736,-128350,-241611.5809,656.1729272
-43,1712.778459,-128250,-241611.5809,656.2834127
-43,1632.743319,-128150,-241611.5809,656.3938983
-39,1555.021364,-128050,-241611.5809,656.5043838
-39,1479.977073,-127950,-241611.5809,656.6148694
-35,1405.883344,-127850,-241611.5809,656.725355
-35,1334.385045,-127750,-241611.5809,656.8358405
-31,1238.735066,-127650,-241611.5809,656.9463261
-31,1143.829393,-127550,-241611.5809,656.966166
-28,1049.869894,-127450,-241611.5809,657.0828434
